"","genere","annonascita","occhi","capelli","altezza","peso","tatoo","piercing","partner","relazionemesi","instagram_post","instagram_follower","instagram_following","fb1","fb2","fb3","sms1","sms2","sms3","sigarette","alcol","alcol2","alcol3","att_fisica1","att_fisica2","att_fisica3","verdura","cannabisamici","cannabispassato","cannabispresente","ECR.avoidance","ECR.anxiety","DASS.depression","DASS.anxiety","DASS.stress","NARCIS.leadership","NARCIS.esibiz","NARCIS.sfrutt","NARCIS.totale","eta","sms","fb","att_fisica","alcol_"
"1","Maschio",1995,"Verdi","Neri",190,104,0,0,"No",NA,9,156,238,30,3,0,3,5,1,"Non fumo","Tra 1 e 5","1 o 2","Mai o quasi",15,0,0,"1-2",3,"L'ho provato","No",3.94444444444444,2.38888888888889,3,4,5,0,0,1,1,25,3,55.1666666666667,28.5,46.3333333333333
"2","Maschio",1999,"Azzurri","Castani",185,65,0,0,"No",NA,55,864,991,25,100,0,5,6,6,"Non fumo","Tra 6 e 10","3 o 4","Una o poche volte all'anno",15,0,0,"1-2",1,"Mai","No",5.11111111111111,2.27777777777778,14,10,11,0,1,1,2,21,5.66666666666667,79.8333333333333,28.5,94.6666666666667
"3","Femmina",1999,"Verdi","Castani",159,43,0,1,"No",NA,1,300,200,35,10,1,3,7,2,"Non fumo","Nessuno","1 o 2","Mai o quasi",30,1,30,"3-4",0,"Mai","No",4.16666666666667,4.94444444444444,10,7,13,0,0,1,1,21,4,75.1666666666667,68.3333333333333,29.1666666666667
"4","Femmina",1999,"Verdi","Castani",170,75,0,3,"Sì",21,248,652,1627,10,30,0,1,1,1,"Non fumo","Tra 1 e 5","1 o 2","Mai o quasi",30,0,0,"1-2",1,"Mai","No",2.11111111111111,3.11111111111111,6,2,9,0,0,1,1,21,1,54.1666666666667,39.1666666666667,46.3333333333333
"5","Femmina",1999,"Azzurri","Biondi",175,57,0,1,"No",NA,86,1282,450,4,10,12,0,0,0,"Da 1 a 5","Tra 1 e 5","1 o 2","Circa una volta al mese",30,0,0,"3-4",0,"Occasionale","Occasionale",4,4.44444444444444,11,2,9,0,0,1,1,21,0,59.6666666666667,39.1666666666667,77.3333333333333
"6","Femmina",1999,"Castani","Castani",165,51,0,0,"Sì",24,13,236,281,3,20,0,4,2,2,"Non fumo","Tra 1 e 5","1 o 2","Mai o quasi",30,2,60,"3-4",0,"Mai","No",3.05555555555556,3.16666666666667,9,5,11,0,0,1,1,21,2.66666666666667,35,79.8333333333333,46.3333333333333
"7","Femmina",1999,"Castani","Castani",169,85,0,0,"No",NA,584,1087,1238,40,19,20,8,6,6,"Non fumo","Tra 1 e 5","1 o 2","Mai o quasi",60,0,0,"5+",3,"Mai","No",4.44444444444444,4.27777777777778,1,4,3,0,0,1,1,21,6.66666666666667,96.1666666666667,57.1666666666667,46.3333333333333
"8","Femmina",1999,"Castani","Castani",165,62,0,1,"No",NA,114,642,679,6,67,9,6,5,4,"Non fumo","Tra 1 e 5","1 o 2","Mai o quasi",20,0,0,"3-4",2,"Mai","No",4.55555555555556,4.38888888888889,2,2,5,0,1,1,2,21,5,79.1666666666667,31,46.3333333333333
"9","Maschio",1998,"Azzurri","Castani",191,77,0,0,"No",NA,49,791,1145,20,73,21,6,7,9,"Non fumo","Nessuno","0","Mai o quasi",180,0,0,"Meno di 1 al giorno",0,"Mai","No",4.11111111111111,3.66666666666667,15,1,11,1,0,1,2,22,7.33333333333333,104.5,67.5,14.1666666666667
"10","Femmina",1999,"Azzurri","Castani",175,54,0,0,"No",NA,0,0,0,0,0,0,0,1,0,"Non fumo","Tra 1 e 5","1 o 2","Mai o quasi",15,0,0,"Meno di 1 al giorno",2,"L'ho provato","No",4.11111111111111,4.16666666666667,8,5,4,0,1,2,3,21,0.333333333333333,14.1666666666667,28.5,46.3333333333333
